7004196100|01/10/2016|000|000.00|00.00|100|    
7004196101|02/10/2016|377|308.10|30.79|333|pago
7004196102|03/10/2016|277|308.10|30.79|311|pago
7004196103|04/10/2016|177|308.10|30.79|495|    
7004196104|05/10/2016|077|308.10|30.79|075|pago
7004196105|06/10/2016|177|308.10|30.79|495|pago
7004196106|07/10/2016|277|308.10|30.79|495|    
7004196107|08/10/2016|377|308.10|30.79|495|pago
7004196108|09/10/2016|477|308.10|30.79|444|    
7004196109|10/10/2016|177|308.10|30.79|495|pago
7004196110|11/10/2016|000|000.00|00.00|000|    
7004196111|12/10/2016|077|308.10|30.79|495|pago
7004196112|13/10/2016|177|308.10|30.79|200|pago
7004196113|14/10/2016|277|308.10|30.79|495|pago
7004196114|15/10/2016|377|308.10|30.79|322|pago
7004196115|16/10/2016|377|308.10|30.79|495|    
7004196116|17/10/2016|000|000.00|00.00|100|    
7004196117|18/10/2016|577|308.10|30.79|595|pago
7004196118|19/10/2016|577|308.10|30.79|695|pago
7004196119|20/10/2016|177|308.10|30.79|225|pago
7004196120|21/10/2016|000|000.00|00.00|000|    
7004196121|22/10/2016|177|108.10|30.79|111|pago
7004196122|23/10/2016|277|208.10|30.79|112|pago
7004196123|24/10/2016|277|208.10|30.79|195|pago
7004196124|25/10/2016|377|308.10|30.79|295|pago
7004196125|26/10/2016|377|308.10|30.79|377|pago
7004196126|27/10/2016|000|000.00|00.00|000|    
7004196127|28/10/2016|577|378.10|30.79|595|    
7004196128|29/10/2016|577|378.10|30.79|495|    
7004196129|30/10/2016|477|338.10|30.79|495|pago
7004196130|31/10/2016|277|208.10|30.79|495|pago



